p	L_p
948	1
949	4
950	2
951	3
952	3
953	2
954	2
955	3
956	6
957	3
958	8
959	3
960	10
961	10
962	6
963	3
964	3
965	2
966	2
967	9
968	2
969	2
970	3
971	1
972	2
973	8
974	1
975	8
976	3
977	4
978	8
979	3
980	1
981	2
982	8
983	1
984	2
985	3
986	5
987	9
988	1
989	6
990	8
991	4
992	1
993	2
994	1
995	7
996	1
997	2
998	1
999	9
1000	7
