p	L_p
414	3
415	1
416	7
417	2
418	2
419	3
420	3
421	5
422	6
423	2
424	3
425	6
426	3
427	8
428	2
429	3
430	4
431	4
432	8
433	4
434	1
435	7
436	4
437	9
438	1
439	5
440	1
441	5
442	4
443	2
444	3
445	7
446	5
447	1
448	6
449	3
450	7
451	2
452	1
453	1
454	2
455	1
456	10
457	3
458	2
459	1
460	9
461	3
462	1
463	2
464	9
465	3
466	8
467	5
468	2
469	10
470	9
471	5
472	6
473	1
474	1
475	2
476	5
477	8
478	2
479	8
480	1
481	2
482	1
483	2
484	3
485	1
486	1
487	2
488	5
489	6
490	1
491	2
492	2
493	4
494	3
495	6
496	7
497	7
498	5
499	5
500	4
501	4
502	1
503	8
504	9
505	8
506	6
507	2
508	2
509	3
510	4
511	3
512	3
513	2
514	9
515	6
516	3
517	8
518	9
519	7
520	2
521	3
522	5
523	5
524	3
525	10
526	4
527	5
528	3
529	3
530	2
531	3
532	10
533	6
534	5
535	8
536	3
537	7
538	9
539	3
540	2
541	3
542	6
543	3
544	4
545	2
546	8
547	8
548	1
549	4
550	1
551	2
552	7
553	5
554	2
555	4
556	5
557	8
558	7
559	4
560	4
561	4
562	6
563	7
564	3
565	10
566	2
567	3
568	6
569	8
570	8
571	4
572	2
573	6
574	3
575	4
576	1
577	4
578	7
579	3
580	7
581	10
582	1
583	4
584	2
585	2
586	4
587	3
588	5
589	1
590	5
591	5
592	3
593	8
594	3
595	8
596	9
597	5
598	2
599	1
600	3
601	5
602	2
603	3
604	3
605	8
606	5
607	10
608	4
609	1
610	3
611	4
612	8
613	1
614	3
615	7
616	4
617	6
618	5
619	6
620	10
621	4
622	3
623	9
624	3
625	10
626	1
627	3
628	3
629	4
630	7
631	8
632	8
633	2
634	1
635	8
636	1
637	10
638	9
639	2
640	3
641	3
642	7
643	7
644	8
645	5
646	1
647	9
648	5
649	7
650	10
651	6
652	6
653	3
654	2
655	6
656	1
657	3
658	4
659	4
660	2
661	4
662	8
663	7
664	2
665	10
666	10
667	6
668	1
669	10
670	2
671	4
672	8
673	4
674	7
675	5
676	3
677	1
678	2
679	2
680	3
681	1
682	7
683	9
684	3
685	6
686	8
687	10
688	3
689	2
690	5
691	2
692	2
693	4
694	1
695	2
696	2
697	9
698	2
699	10
700	10
701	2
702	4
703	4
704	3
705	10
706	4
707	2
708	5
709	2
710	9
711	3
712	3
713	2
714	3
715	1
716	3
717	9
718	6
719	2
720	7
721	2
722	5
723	8
724	4
725	1
726	7
727	1
728	6
729	6
730	1
731	2
732	2
733	7
734	6
735	3
736	7
737	3
738	2
739	3
740	10
741	1
742	8
743	5
744	7
745	6
746	10
747	8
748	7
749	9
750	1
751	2
752	3
753	3
754	2
755	6
756	2
757	9
758	1
759	2
760	8
761	7
762	2
763	3
764	2
765	3
766	3
767	4
768	9
769	1
770	5
771	8
772	1
773	6
774	6
775	10
776	3
777	10
778	4
779	3
780	2
781	10
782	4
783	2
784	7
785	3
786	4
787	3
788	2
789	5
790	3
791	10
792	3
793	7
794	3
795	3
796	2
797	2
798	7
799	3
800	3
801	3
802	3
803	10
804	6
805	2
806	3
807	2
808	1
809	1
810	3
811	1
812	7
813	5
814	7
815	1
816	2
817	3
818	7
819	3
820	6
821	3
822	4
823	6
824	4
825	7
826	3
827	3
828	5
829	3
830	6
831	4
832	3
833	3
834	5
835	4
836	1
837	3
838	8
839	3
840	1
841	2
842	8
843	3
844	4
845	8
846	8
847	3
848	8
849	4
850	3
851	4
852	1
853	6
854	4
855	5
856	3
857	7
858	2
859	6
860	7
861	2
862	5
863	6
864	4
865	2
866	10
867	3
868	1
869	7
870	7
871	4
872	2
873	3
874	1
875	4
876	4
877	5
878	2
879	1
880	4
881	1
882	7
883	3
884	3
885	3
886	2
887	2
888	10
889	3
890	8
891	3
892	2
893	2
894	2
895	1
896	2
897	3
898	1
899	1
900	4
901	1
902	2
903	5
904	1
905	5
906	10
907	3
908	3
909	3
910	3
911	3
912	2
913	2
914	8
915	2
916	4
917	9
918	2
919	4
920	4
921	1
922	2
923	1
924	9
925	1
926	8
927	10
928	5
929	3
930	5
931	3
932	3
933	3
934	2
935	3
936	7
937	9
938	4
939	2
940	9
941	3
942	9
943	3
944	5
945	4
946	4
947	2
948	2
949	1
950	2
951	4
952	3
953	1
954	2
955	3
956	6
957	3
958	5
959	6
960	2
961	8
962	5
963	3
964	3
965	1
966	1
967	5
968	5
969	4
970	6
971	8
972	10
973	3
974	3
975	3
976	6
977	4
978	5
979	6
980	3
981	6
982	2
983	3
984	1
985	4
986	3
987	8
988	4
989	5
990	3
991	5
992	3
993	2
994	3
995	5
996	1
997	2
998	5
999	6
1000	6
